V1,V2,V3,V4,V5,V6,V7,V8
mds,2,0.6009792,0.5,0.5495716,0.5232558,0.5531016,0.5453816
mds,3,0.5152999,0.498776,0.5501836,0.498164,0.5524881,0.5229823
mds,4,0.5673195,0.5,0.5189718,0.5244798,0.4944785,0.5210499
mds,5,0.5416157,0.498776,0.4932681,0.498776,0.5240968,0.5113065
mds,6,0.5373317,0.499388,0.5159119,0.5471236,0.5240968,0.5247704
mds,7,0.5122399,0.498776,0.4877601,0.5226438,0.5253238,0.5093487
mds,8,0.5410037,0.497552,0.4902081,0.5220318,0.4981595,0.509791
pca,2,0.6009792,0.5,0.5495716,0.5232558,0.5531016,0.5453816
pca,3,0.5152999,0.498776,0.5501836,0.498164,0.5524881,0.5229823
pca,4,0.5673195,0.5,0.5189718,0.5244798,0.4944785,0.5210499
pca,5,0.5416157,0.498776,0.4932681,0.498776,0.5240968,0.5113065
pca,6,0.5373317,0.499388,0.5159119,0.5471236,0.5240968,0.5247704
pca,7,0.5122399,0.498776,0.4877601,0.5226438,0.5253238,0.5093487
