V1,V2,V3,V4,V5,V6,V7,V8
mds,2,0.9206461,0.9510768,0.9470974,0.9583333,0.9668972,0.9488102
mds,3,0.9735487,0.9510768,0.9527154,0.9583333,0.9508399,0.9573028
mds,4,0.9527154,0.9566948,0.9527154,0.9791667,0.9016798,0.9485944
mds,5,0.9414794,0.8469101,0.9527154,0.9375,0.923419,0.9204048
mds,6,0.9054307,0.9302434,0.9375,0.9375,0.9943182,0.9409985
mds,7,0.9054307,0.8789794,0.9375,0.9375,0.9943182,0.9307457
mds,8,0.869382,0.7956461,0.875,0.9166667,0.9782609,0.8869911
mds,9,0.8845974,0.801264,0.875,0.8958333,0.9565217,0.8826433
mds,10,0.8845974,0.7652154,0.875,0.875,0.9347826,0.8669191
pca,2,0.9206461,0.9510768,0.9470974,0.9583333,0.9668972,0.9488102
pca,3,0.9735487,0.9510768,0.9527154,0.9583333,0.9508399,0.9573028
pca,4,0.9527154,0.9566948,0.9527154,0.9791667,0.9016798,0.9485944
pca,5,0.9414794,0.8469101,0.9527154,0.9375,0.923419,0.9204048
pca,6,0.9054307,0.9302434,0.9375,0.9375,0.9943182,0.9409985
pca,7,0.9054307,0.8789794,0.9375,0.9375,0.9943182,0.9307457
pca,8,0.869382,0.7956461,0.875,0.9166667,0.9782609,0.8869911
pca,9,0.8845974,0.801264,0.875,0.8958333,0.9565217,0.8826433
