V1,V2,V3,V4,V5,V6,V7,V8
mds,2,0.4973475,0.5454545,0.7674222,0.8022667,0.5829726,0.6390927
mds,3,0.4973475,0.6818182,0.8450687,0.8009404,0.5790043,0.6808358
mds,4,0.5882566,0.7272727,0.8530263,0.9479142,0.5790043,0.7390948
mds,5,0.5882566,0.8636364,0.8570051,0.9907162,0.5869408,0.777311
mds,6,0.5441283,0.7727273,0.9011333,0.9880637,0.6725589,0.7757223
mds,7,0.6350374,0.7272727,0.9011333,0.994695,0.8556999,0.8227677
mds,8,0.6310586,0.7272727,0.9037859,0.9893899,0.994709,0.8492432
mds,9,0.6350374,0.8181818,0.9037859,0.9920424,0.9973545,0.8692804
mds,10,0.6804919,0.8181818,0.9037859,0.9920424,0.9973545,0.8783713
mds,11,0.6350374,0.7727273,0.9024596,0.9893899,0.9986772,0.8596583
mds,12,0.6804919,0.7272727,0.9037859,0.9893899,0.9973545,0.859659
mds,13,0.6363636,0.6818182,0.9037859,0.9907162,0.994709,0.8414786
mds,14,0.6818182,0.7272727,0.9037859,0.9880637,0.989418,0.8580717
mds,15,0.6804919,0.7272727,0.9024596,0.9880637,0.9854497,0.8567475
mds,16,0.6818182,0.7272727,0.9037859,0.9933687,0.9505772,0.8513645
mds,17,0.6350374,0.7727273,0.9037859,0.994695,0.8543771,0.8321245
mds,18,0.6778394,0.7272727,0.9037859,0.994695,0.8530544,0.8313295
mds,19,0.6804919,0.6818182,0.9037859,0.9920424,0.8570226,0.8230322
mds,20,0.6804919,0.7272727,0.9037859,0.9907162,0.8570226,0.8318579
mds,21,0.7246202,0.8181818,0.8596576,0.9880637,0.8570226,0.8495092
mds,22,0.7259465,0.8636364,0.8583313,0.9893899,0.8556999,0.8586008
mds,23,0.7246202,0.9090909,0.8155293,0.9907162,0.8102453,0.8500404
mds,24,0.7232939,0.9090909,0.8570051,0.9893899,0.8609909,0.8679541
mds,25,0.7219677,0.8636364,0.814203,0.9893899,0.8596681,0.849773
mds,26,0.7206414,0.8636364,0.7674222,0.9867374,0.8128908,0.8302656
mds,27,0.7179889,0.8181818,0.7674222,0.9867374,0.8142136,0.8209088
mds,28,0.7166626,0.8636364,0.7634435,0.9840849,0.8596681,0.8374991
pca,2,0.4973475,0.5454545,0.7674222,0.8022667,0.5829726,0.6390927
pca,3,0.4973475,0.6818182,0.8450687,0.8009404,0.5790043,0.6808358
pca,4,0.5882566,0.7272727,0.8530263,0.9479142,0.5790043,0.7390948
pca,5,0.5882566,0.8636364,0.8570051,0.9907162,0.5869408,0.777311
pca,6,0.5441283,0.7727273,0.9011333,0.9880637,0.6725589,0.7757223
pca,7,0.6350374,0.7272727,0.9011333,0.994695,0.8556999,0.8227677
pca,8,0.6310586,0.7272727,0.9037859,0.9893899,0.994709,0.8492432
pca,9,0.6350374,0.8181818,0.9037859,0.9920424,0.9973545,0.8692804
pca,10,0.6804919,0.8181818,0.9037859,0.9920424,0.9973545,0.8783713
pca,11,0.6350374,0.7727273,0.9024596,0.9893899,0.9986772,0.8596583
pca,12,0.6804919,0.7272727,0.9037859,0.9893899,0.9973545,0.859659
pca,13,0.6363636,0.6818182,0.9037859,0.9907162,0.994709,0.8414786
pca,14,0.6818182,0.7272727,0.9037859,0.9880637,0.989418,0.8580717
pca,15,0.6804919,0.7272727,0.9024596,0.9880637,0.9854497,0.8567475
pca,16,0.6818182,0.7272727,0.9037859,0.9933687,0.9505772,0.8513645
pca,17,0.6363636,0.7727273,0.9037859,0.994695,0.8543771,0.8323898
pca,18,0.6791657,0.7272727,0.9037859,0.994695,0.8530544,0.8315947
pca,19,0.6804919,0.6818182,0.9051121,0.9920424,0.8556999,0.8230329
pca,20,0.7259465,0.7272727,0.9051121,0.9907162,0.8543771,0.8406849
pca,21,0.7259465,0.8181818,0.8128768,0.9893899,0.8075998,0.830799
pca,22,0.7259465,0.6818182,0.8155293,0.9907162,0.8102453,0.8048511
pca,23,0.7219677,0.6818182,0.8155293,0.9907162,0.8089226,0.8037908
pca,24,0.7232939,0.6818182,0.8155293,0.9907162,0.7608225,0.794436
pca,25,0.7246202,0.6363636,0.8155293,0.9907162,0.7621453,0.7858749
pca,26,0.7259465,0.6363636,0.814203,0.9907162,0.8102453,0.7954949
pca,27,0.7232939,0.6363636,0.8128768,0.9907162,0.8089226,0.7944346
